segment,seconds
traditional,0.0
deep,1075.3270219750702
total,1075.3270219750702
traditional,0.0
deep,1424.2192632220683
total,1424.2192632220683
traditional,0.0
deep,1902.813126662746
total,1902.813126662746
traditional,0.0
deep,1605.2353698424995
total,1605.2353698424995
traditional,0.0
deep,981.2824083361776
total,981.2824083361776
traditional,0.0
deep,980.109011599794
total,980.109011599794
traditional,0.0
deep,1787.9261764064431
total,1787.9261764064431
traditional,0.0
deep,1009.8083957713096
total,1009.8083957713096
traditional,0.0
deep,1281.1764510888606
total,1281.1764510888606
traditional,0.0
deep,1269.8093996997925
total,1269.8093996997925
traditional,0.0
deep,667.9739950466901
total,667.9739950466901
traditional,0.0
deep,1022.820862038061
total,1022.820862038061
traditional,0.0
deep,1573.7717135567218
total,1573.7717135567218
traditional,0.0
deep,1198.360214665532
total,1198.360214665532
traditional,0.0
deep,577.3637293949723
total,577.3637293949723
traditional,0.0
deep,577.9202200714499
total,577.9202200714499
traditional,0.0
deep,1475.9214589688927
total,1475.9214589688927
traditional,0.0
deep,625.503235520795
total,625.503235520795
traditional,0.0
deep,988.7476745173336
total,988.7476745173336
traditional,0.0
deep,983.5626651253552
total,983.5626651253552
traditional,0.0
deep,790.003453405574
total,790.003453405574
traditional,0.0
deep,1136.7009056694806
total,1136.7009056694806
traditional,0.0
deep,1614.0535898581147
total,1614.0535898581147
traditional,0.0
deep,1295.1571288462728
total,1295.1571288462728
traditional,0.0
deep,693.1229029856622
total,693.1229029856622
traditional,0.0
deep,582.5821846835315
total,582.5821846835315
traditional,0.0
deep,1394.835270166397
total,1394.835270166397
traditional,0.0
deep,625.9032985400409
total,625.9032985400409
traditional,0.0
deep,888.4563417900354
total,888.4563417900354
traditional,0.0
deep,872.9746549613774
total,872.9746549613774
traditional,0.0
deep,683.282732354477
total,683.282732354477
traditional,0.0
deep,1048.457458043471
total,1048.457458043471
traditional,0.0
deep,1539.3744190223515
total,1539.3744190223515
traditional,0.0
deep,1202.727089824155
total,1202.727089824155
traditional,0.0
deep,590.5657684765756
total,590.5657684765756
traditional,0.0
deep,583.6727696117014
total,583.6727696117014
traditional,0.0
deep,1392.6862217057496
total,1392.6862217057496
traditional,0.0
deep,628.0660750642419
total,628.0660750642419
traditional,0.0
deep,865.7247650437057
total,865.7247650437057
traditional,0.0
deep,873.0075952038169
total,873.0075952038169
traditional,0.0
deep,677.9272909481078
total,677.9272909481078
traditional,0.0
deep,1017.2544387262316
total,1017.2544387262316
traditional,0.0
deep,1540.4104951880872
total,1540.4104951880872
traditional,0.0
deep,1225.0132515523585
total,1225.0132515523585
traditional,0.0
deep,593.2583089079708
total,593.2583089079708
traditional,0.0
deep,590.587182611227
total,590.587182611227
traditional,0.0
deep,1412.2904617227614
total,1412.2904617227614
traditional,0.0
deep,628.9218848440796
total,628.9218848440796
traditional,0.0
deep,890.8301311153919
total,890.8301311153919
traditional,0.0
deep,880.5342922974378
total,880.5342922974378
traditional,0.0
deep,689.5497101172805
total,689.5497101172805
traditional,0.0
deep,1050.1665255669504
total,1050.1665255669504
traditional,0.0
deep,1500.5354874972254
total,1500.5354874972254
traditional,0.0
deep,1322.666775526479
total,1322.666775526479
traditional,0.0
deep,609.4986511804163
total,609.4986511804163
traditional,0.0
deep,597.9956670440733
total,597.9956670440733
traditional,0.0
deep,1404.7183996289968
total,1404.7183996289968
traditional,0.0
deep,633.6746580153704
total,633.6746580153704
traditional,0.0
deep,888.1875851918012
total,888.1875851918012
traditional,0.0
deep,871.5917005427182
total,871.5917005427182
traditional,0.0
deep,695.5831559803337
total,695.5831559803337
traditional,0.0
deep,1027.0561498887837
total,1027.0561498887837
traditional,0.0
deep,1503.3353332392871
total,1503.3353332392871
traditional,0.0
deep,1218.1360616721213
total,1218.1360616721213
traditional,0.0
deep,587.8321010284126
total,587.8321010284126
traditional,0.0
deep,589.8906581085175
total,589.8906581085175
traditional,0.0
deep,1398.8653754908592
total,1398.8653754908592
traditional,0.0
deep,628.4277965202928
total,628.4277965202928
traditional,0.0
deep,879.6208771802485
total,879.6208771802485
traditional,0.0
